XFTU	SFTU	SFRC	SFNC	SFRN
1810030N24Rik	Usp54	Dnm1	Zmynd8	Rps27l
Gm749	Pfn1		Zfp414	Pigs
S100a16	Gsdmc	Cstb	Shfm1	Pcdha11
Pfdn2	Col6a6	Cpne2	Gm16379	ND3
Pde6g	Trappc10	Gm10653	Itih4	3230401D17Rik
Gm5635	Dr1	Kcnd3	En2	Skil
	Ilf2	Gm10229	Ndufa1	Nat1
Cope	Msi1	Ppp1r14c	Cox5a	Wfikkn2
Creb1	Sod1		Mat2b	2410003K15Rik
	Acox1	1700029G01Rik	Clip1	Tekt4
Uqcr10	Srsf1	4930449I24Rik	Spop	Dtd1
Sstr4	Itgal	Arsa	Prps1l3	Kcnk6
Chst12	Dkkl1	Lbx1	Ergic3	Wtap
Inpp5k	Drp2	Gdf3	Ndufa3	Cyp20a1
	Sap130	LOC16697	Xlr5a	Mthfr
Rac1	Rala	Polr2l	Kpna6	Gpr125
Lars2		S100a16	Ubxn6	Igbp1b
Gpaa1	Prdx5	1600027N09Rik	Ppt2	Lilra6
Tmbim4	Dpm2	Dpm2	Cnih	Sds
Mc4r	Elane	Caly	Fam173b	Mrps18b
Armc1	Trafd1	Nup133	Ngf	Cryaa
Yipf3	Polr2l	Cox4i2	Gsdmc	Rnf148
1110004F10Rik	2810006K23Rik	Srgn	Tmem104	Pgs1
Rasgrp2	Rac3	Lage3	2200002D01Rik	Ndufa9
Atp6v1e2	S100a16	Ccne1	Fip1l1	Cyp2s1
	Gm216	Arpc5	Gm13375	Ubxn4
	Lsmd1	Hirip3	Polr2l	Wrb
Rpl4	Chmp7	Clec18a	Bcl10	Cd300c
Pdia3	Ccdc124	C130039O16Rik	Dtx3l	Ccdc71
Tulp1		BC003266	Acox1	Sema3e
Rit1	Stx17	Tceb1	Lrrc8b	Ublcp1
		Xlr5a	Elovl1	Ccdc28b
4933434E20Rik	Cope	Prkd2	Elavl1	Zfp41
Rbck1	Prps1l3	Sap130	Prkd2	Trappc6a
Slc39a4	Ppm1b	Fndc3c1	Blcap	Dync1h1
Clec4n	Doc2a	Gm5751	Srsf1	Atp11a
Klhl20	Rplp1		Nlrp1a	Pacs2
Hemk1		Ccdc124	Prmt5	Setdb1
Myl3	Gpr155	Zfp579	Gys1	Olfr859
Rrp1	Nrbf2	Twf2	Chchd7	Mtmr6
2700029M09Rik	Ube4b	Eml2	Tmub2	Psma1
Dctpp1	Actb	Rab3gap2	Alkbh7	Rmnd1
Stk40		Rab8b	Sim2	Ints9
Gtpbp3	Serf2	Aldh3a1		Snx11
		Hnrnpu	Alox5ap	Klf6
Brpf1	Stx2	Atp2a3	Dnajc17	Polb
Ampd2	Slc36a1	Vasp	2700078K21Rik	Cenpt
Rc3h1	Pacsin1	Aldoa	Mbd2	Csf2ra
S100a5		Guk1	Msi1	Mto1
Lin37	Tnip2	Sox13	Wdr63	4933417A18Rik
Rab5a	Atox1	1700027D21Rik	Anp32a	Cyp4f18
Furin	Otof	2900010M23Rik		Cyfip2
Mkrn1	Klhl22	Smc1a	Capns1	Gm13011
Kpna6	En2	Vmn1r59	Gstp2	Dio2
Tlr7	Egfl8	Gm16379	Vdac3	Ap3d1
Tmx2	Rab3gap2	Zfp92	Srgn	Lass4
Morf4l1	Ruvbl2	Vdac3	Zfp90	Abcb4
Taf5l	Mgmt	Rdh12	Cyb5	Actr5
Taf2	Gamt	Spr	Rpusd3	
Nlrp1a	Ttll10	2810006K23Rik	Zfp771	Pgam5
	Oxct1	D3Ertd751e	Rnf115	
Ric8	Gm10653		Ptp4a2	Hbs1l
	Inpp5k	Avpi1	Doc2a	Ass1
Alkbh7	Sepw1	Eftud2	Anapc16	Ptprh
Prdx3		Sf3b5	Gm6813	Lyrm2
1700027D21Rik		D430041D05Rik	Dgkz	
Tubb2a	2700029M09Rik	AW551984	Rps24-ps2	Sgpl1
Rad51c	Rab8b	Trank1	Arnt	Dnahc17
		Ttll10	Hibadh	Srgap2
Cox7a1	1110004F10Rik	Itgal		Homez
Klhl12		Serpinb8	Smap2	Fam160a2
Taf10	Msl1	2700029M09Rik	Rdh12	Map4k2
Pbrm1		Urm1	Lcp2	Ndel1
Prkd2	Coro1b	Mrps14		Col6a2
Nub1	Car7	Sctr	Gkn3	Rftn1
Dlst	Tmem59l	Klf6	Asb6	Srr
Traf3ip3	Cd244		Sox13	Traf7
2310028O11Rik	Lrrtm1	Cirh1a	Txnl4a	Ak8
AB124611	U46068		4933434E20Rik	Luc7l2
Mc3r	2610035D17Rik	Rac1	Hirip3	Dicer1
Psenen	Pemt	Dlst	Pacsin1	A730020M07Rik
Chchd3	Efs	Ciz1	Upf3a	Gjd2
Gm826	Ctsz	Stat3	Slc22a1	Polr2b
Skp1a	Gxylt2	Ttc23l	Fasn	Banf1
Dbnl	Apeh		Siglech	Ddx28
Hadhb	Prf1	Arl9	Grin2b	Tmem127
Rbmx	Rc3h1	Cetn2	Kcnc1	Ctu2
Tmem87a	Stat3			Ing1
Ppp1r14c	Hp1bp3	Panx1	Tmem59l	Apcs
	Nr2f2			Snx12
Ndufb8	Smurf1	2610035D17Rik		Cblc
5033414D02Rik	Ciz1	Car7	Zranb2	Dscr3
	Msx2	Ppp2r2d	Ywhaz	Vax2
Tbpl1	Smc1a	Ssbp1	Pde6g	Arpp21
Cox5a		Lrrtm1	Rab8b	Sytl5
Dapp1	Ssbp2	Zbtb46	Mkrn1	Plbd1
Anapc16	Ciapin1	Tymp	Bnip3l	Papd5
Odf3	H47	Snx6	Tubg1	Rnf6
Ttll3	Lmnb2	Wdr1	Nucb1	Dsc3
	Arl8b	Slc9a3r2	1700027D21Rik	Ptpn2
Smg5	D430041D05Rik	Mrps10	Adamts10	Dmap1
Hbs1l	Pdlim1	Lrfn1	Brf1	Edem1
Elane	Phc2	2410091C18Rik	Cpsf4	Nisch
Slc1a5	Gys1	Taf2	Cpped1	Gnai3
Ntrk2	Gjb1	Atox1	Myl6	Ndufb6
Hdlbp	Ndufa1		Ece2	Epha8
	Senp3	Jkamp	Irak1	Mical1
Maf1	Creb1	Usp54	Hadhb	
Gm4978		Rhot2	Tmx2	Grin2b
Nup133	Capns1	Klk1b21		Snrnp200
Donson	Mocs2	Elavl1	Atxn7l2	Rfc2
Il10rb	Hmgb1	Cdhr2	Gm4978	Anks1
Loxl3	Anapc16	Dr1		Sdhb
Dpm2	Ergic3		Nr5a1	Ank
Rab8b	Sdf4	Arl8b	Dlst	Cenpc1
Srgn	Lrfn1	Sp110	Ctsz	Myh3
Nfatc4	Asb3	Caln1	Scn8a	Cks1b
Lass4	Rpl27a	AI462493	Tmem87a	Fam96a
Ddx3x	Cngb1	Pla2g12b	Col6a6	Nek9
Rnaseh2c	Capza2	Tmem204	Smc1a	Pbxip1
Rnf145	Prpf6	Cetn1	Ap2s1	Camk1g
Trim59	Fip1l1	Wdr63	Zfp467	Arg1
Rps29	Szt2	Rac3	Itgal	Rfng
Eif1b	Dnase1l1	Eif4g1	2610035D17Rik	1810009A15Rik
Syt8	Tspo			Ptprq
Slc1a4	Rev3l	Elane	S100a1	Aagab
Huwe1	Rnf145	Eif3j	Tymp	Unc13a
Stx17	Cetn1	Dnase2a	Csf1	Crisp4
Rps15	Atp5e	Polr2f	Atf5	Cd320
Unc79		Slc4a2	Apeh	Pdhb
	Nup133	Arrb2	3110062M04Rik	Trim11
Stk17b	Itih1	Rala	Snrpd3	Traf7
