IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
Cox6c	Zc3h15	Dusp3	2310022B05Rik	Hmgcs1
Atp1b3	2610005L07Rik	Kctd12	Zc3h7b	Rasgrf2
Lmbrd2	Snx10	Neto2	Plcl1	Klhl9
Epn2	Ipo5	Trak2	Rlf	Efhd2
Gpr22	Bag1	Mras	Spon1	Prex2
Mamld1	Mal	Kcnip4	Ubp1	Hecw1
Kctd1	Pde2a	Ppp2r5c	Sox2ot	Tbr1
Mtdh	Cap1	Tspan13	Errfi1	Rnf169
Snapin	Hs2st1	Sult4a1	Cntn3	Amph
Egln1	Ehd3	B230209E15Rik	Inhba	Cttnbp2
Mlf2	Syngr1	Tspan5	Tmem151b	Wfs1
Tmed8	Cnp	Usp22	Pex19	Srrm1
Zfp277	Aco2	Tuba4a	Ddx50	Ptn
Trp53bp1	Usp7	Snn	Crkl	Ap1ar
Higd1a	Cacul1	Wbp2	Unc13b	Rab15
Tubb4b	Mat2b	Ppm1h	Shisa6	Rpl21
Khsrp	Pls3	Hmgcs1	Ppil4	Agap2
Prdx6	Madd	Rasgrf2	Cntn4	Golga7
Lamp2	Bhlhe40	Zscan26	Cpne3	Hnrnph2
Rpl17	Tbc1d30	Efhd2	Lrrc8a	Ubqln1
Khdrbs3	Ube2e3	Prex2	Tmem167b	Ociad2
Robo2	Rims1	Rnf169	Bnip2	C1ql3
Mapk4	Thsd7a	Amph	Zfp46	Disp2
Msl2	Plk2	Cttnbp2	Sytl5	Ago2
Arhgef7	Flrt2	Wfs1	Hmgcr	Pphln1
C2cd5	Gpi1	Sh3kbp1	Arid5b	Frs2
Zc3h11a	Tpi1	Srrm1	Trim8	Celsr2
Ak3	Zc2hc1a	Ptn	Rad50	Thrb
Rufy2	Srrm4	Srsf3	Rcan1	Ptprj
Rpl41	Kcnq5	Ap1ar	Sgk1	Reep1
Hspa5	Ube2ql1	Rab15	Clic4	Elavl4
Sv2a	Metap2	Rpl21	Plcxd3	Gpd2
Kcnd2	Atf7ip	Agap2	1300002E11Rik	Jak1
Mast4	Deptor	Golga7	Mylk	Adora1
Tceal5	Usp47	Ociad2	Slc6a7	Hivep1
Nicn1	Gfra2	C1ql3	Wee1	Coro2b
Bcl9	Ube2i	Disp2	Cnep1r1	Plxna4
Zbed6	Ablim1	Ago2	Ptpre	6430548M08Rik
Tagln3	Iqsec3	Pphln1	Kcnf1	Gabbr2
Pcdh19	Git1	Vcpip1	Fosl2	Setd2
Calcoco1	Fam13b	Frs2	Fam32a	Adarb1
Megf9	Gabrg2	Celsr2	Adarb2	Tet2
Sap130	Pld3	Thrb	Orc4	Efr3b
Atp6v1e1	Spred2	Ptprj	Mboat7	Syn3
Sp4	Hnrnpab	Reep1	Dtx4	Fgf13
Fam98b	Myadm	Elavl4	Npas2	Edil3
B230217C12Rik	Vamp1	Jak1	Nexn	Nisch
Fbxl20	Ina	Adora1	Tox3	Dstn
Mvb12b	Tmem33	Hivep1	Polr2b	Wdr13
Slc30a4	Pnpla8	Coro2b	Srpk1	Asph
Tnrc6a	Rbm3	Plxna4	Dock10	Ppp2r2b
Cox6a1	Cdk11b	6430548M08Rik	Trim66	Nr3c1
Cops7a	Igip	Gabbr2	Trf	Mal2
Epha5	Plekhb2	Setd2	Rasd2	B3gat1
Cir1	Zbtb4	Adarb1	Klf3	Mapk8ip3
Slitrk4	Ctdspl2	Efr3b	Sez6	4933431E20Rik
Necab3	Ccp110	Syn3	Strip2	Vcp
Abhd12	Trim35	Fgf13	Smad5	Fgf14
Glce	5730409E04Rik	Edil3	Dagla	Man2a2
Slc5a3	Ankrd40	Nisch	Htr5a	Arap2
Pomp	Ap1s2	Dstn	Ppp4r4	Prpf38b
Cacna1a	Myrip	Wdr13	Elfn2	Cipc
Zcrb1	Ap2a2	Asph	Tgfa	Cdip1
Acsl4	Camsap1	Dixdc1	Tmed2	Sox5
Dlc1	Magi3	Ppp2r2b	Smad4	Nell2
Slitrk5	Rybp	Nr3c1	Kcnb2	Vamp4
Vma21	Fundc2	Mal2	Prickle1	Eml5
Rasa1	Gmps	B3gat1	Zfp831	Prmt8
Rab27b	Hdac9	Mapk8ip3	Srebf2	Arhgap44
Rictor	Pcdh1	Vcp	Zcchc24	Ppp1r9b
Asrgl1	Plcb4	Fgf14	Trib2	Srsf11
Gatm	Igfbp5	Csrp1	Denr	Cdk16
Lrp6	Gtdc1	Arap2	Ddit4l	Samd8
Rpl10a	Cmas	Prpf38b	Zfp36l1	Uhmk1
Uchl5	Ccdc6	Cipc	Myo1b	Rap1gap2
Armcx4	Ptk2	Sox5	Fhl2	Rangap1
Rpl19	Cpne4	Nell2	Kdm4c	Rbm5
Plekha6	Ktn1	Vamp4	Ndrg1	Ppm1a
Plaa	Map7d1	Ubl3	Olfm2	Mef2d
