IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
		4933439C10Rik		Pi15
		Vmn2r87		Gxylt2
		Zc3hav1		Cyp4f16
		Fancd2os		Olfml2b
		Col9a3		Neurod4
		Rnd1		Obscn
		Cd93		Gjb1
		Ecm2		4933424G05Rik
		Zfp184		Trim34a
		Slc39a11		Glra1
		Mov10		I830077J02Rik
		Atp10a		Pdlim4
		Crhr1		Slc2a4rg-ps
		Mrpl54		E2f2
		A230001M10Rik		Nxf7
		Ret		Nkx6-2
		Vgll4		Car14
		Hapln2		Tktl2
		Aldob		Clec18a
		Rbm47		Gmnc
		Rxfp3		Chrnb4
		Ppp4r1l-ps		Nhlh1
		Itgb4		Agmat
		Taf7l		Ccdc81
		BC037704		Plb1
		Nes		Fhod1
		Dpm3		Pate2
		Kank4		Cga
		Parvg		Cited4
		Pappa		Kcng2
		Nts		Vwa5b1
		Pik3r6		Ccdc51
		Gstm6		Gpx8
		Htra4		Acaa1b
		Fhdc1		Trip10
		Mthfd2		Calcr
		Kank3		Grb7
		F5		Myom3
		Htatip2		Tc2n
		Mei4		Krt80
		Evpl		Map3k6
		Tcte1		Ano8
		Galnt4		Cyp4f14
		Zfp82		Knstrn
		Gucy2f		Tagln
		Gm3500		Ecm1
		Gm5088		Pomc
		5430405H02Rik		Mpl
		Txnrd3		Airn
		Serinc2		Adrb2
		Oacyl		Hydin
		Cd28		Abca17
		Rab39		Fbxo48
		Rgs13		Aspg
		Rtkn2		Zmynd10
		Slc10a4		Stc2
		Ccnf		Vipr2
		Pcdhb11		Gpr139
		Myo3b		Hdhd3
		AI115009		Mcemp1
		Plk5		Ap5b1
		Tjap1		Ppp1r13l
		Myh1		Gm21284
		Aox3		Rxfp2
		Mgp		Col6a4
		Cyb561d2		Gm5441
		CK137956		Pla2g2d
		Edn3		Mycbpap
		Ptger3		Tspan11
		4930572O13Rik		Arr3
		Shq1		Dpf3
		Arid5a		Pth2r
		Grtp1		Tcap
		Gpr149		Nxph4
		Bank1		Ly6g6e
		1700027H10Rik		AU022754
		Insc		Fgd2
		Ngfr		Eps8l2
		Cyp4f13		Gins2
		1700096K18Rik		Slc25a45
		Adamts18		Dusp9
		Stra6		Fblim1
		Slc25a29		Tmem40
		Cox6a2		A230020J21Rik
		Npbwr1		Irf5
		Pcdhgb7		Gm17751
		Nqo1		Wbscr25
		Aldh3b2		Wfdc18
		Usb1		Dmkn
		Hhex		Adra2b
		Klf14		1600023N17Rik
		Cebpa		Lmbr1l
		Lsp1		Mir9-2
		Pdpn		Nhlrc4
		Gm3696		BB031773
		Itga11		Six1
		Tnnc1		Sytl4
		Col1a1		Fam216b
		Slc22a3		Megf6
		Ehhadh		Rom1
		Fbn2		Vdr
		Adcy10		Capn11
		Slc6a20a		Ccdc169
		Myof		Ahrr
		Gsta3		C1ra
		Clspn		Jsrp1
		Pln		Igsf9
		Capsl		Chst9
		Rpe65		Mir8091
		Tnc		Retn
		Rin3		Atp6v0c-ps2
		Ngb		Ptgr1
		Glipr2		Hvcn1
		Rab3il1		S1pr2
		Gem		Flt3l
		Pi15		Ccr9
		Gxylt2		Scarf1
		Olfml2b		Gm5086
		Hmgcs2		2310040G24Rik
		Kcnh6		2310002D06Rik
		Palb2		Slc4a11
		Obscn		Atp7b
		Gjb1		Gm12295
		Usp43		Fam180a
		Trim34a		Chst14
		1700034G24Rik		Trim47
		4930545L23Rik		Skap1
		Glra1		Pdcd1lg2
		I830077J02Rik		Mx2
		Pdlim4		C1s1
		Slc2a4rg-ps		St8sia3os
		Rnf17		Baiap2l2
		Prr15		Krt73
		E2f2		Trpc5os
		Nxf7		Reep4
		Gipc2		Enpep
		Car14		Fshb
		Gbp9		Klk6
		Tktl2		Hspb7
		Clec18a		Plekha4
		Gmnc		Trpm6
		Chrnb4		Lpo
		Crh		Olfm4
		Agmat		B3gnt7
		Plb1		Frk
		Fhod1		Prss22
		Pate2		Papln
		Cga		Lrrn4
		Cited4		Myrfl
		Kcng2		Col5a2
		Xlr3b		Atp2a1
		Vwa5b1		1700018L02Rik
		Ccdc51		Tdrd9
		Gpx8		Gucy1b2
		Acaa1b		Mir3070b
		Calcr		Nkx2-2os
		Grb7		Pkp1
		Myom3		Prom2
		Gm13749		Hsd3b6
		Krt80		Slc22a2
		E130102H24Rik		Gpr65
		Map3k6		1700006F04Rik
		Cyp4f14		Hnf1a
		Ecm1		Atp2c2
		5031410I06Rik		Gal
		Pomc		Cdk15
		Cubn		Ptprv
		Mpl		Ntf3
		Airn		Cd1d1
		Dmgdh		4930488L21Rik
		Tmed1		F730035M05Rik
		Abca17		Slc38a11
		Aspg		Arl5c
		Actr5		Ascl2
		Klhl40		Pou1f1
		Zmynd10		Hao2
		Stc2		Sprr1a
		Vipr2		Cd7
		Gpr139		Atp2a3
		Trhr2		Klra2
		Hdhd3		Snora34
		Mcemp1		Ptprq
		Trim7		Pkd2l1
		Gm7444		Ccdc170
		Ccdc89		Armc3
		Gm10638		4930470P17Rik
		Gp1ba		Ucma
		Rxfp2		Cyyr1
		Col6a4		Smad6
		4921534H16Rik		Alpk2
		Pla2g2d		Wnt9b
		Mycbpap		Gpr141
		Tspan11		Fndc7
		Ldoc1		Esrp1
		Arr3		Adamts19
		Tcap		Draxin
		Ly6g6e		Folr2
		Oip5		Spata19
		AU022754		Inhbe
		Fgd2		Dnajb7
		Gm14015		Rd3
		1810010H24Rik		Xlr
		2310002F09Rik		Fam124b
		Gins2		Cryba2
		Gm13315		Upb1
		Dusp9		4933433G15Rik
		Tmem40		Epcam
		A230020J21Rik		Mboat4
		Efcab9		Samd7
		Tshr		Bpifb1
		Gm17751		4933429O19Rik
		5530401A14Rik		Wnt5b
		Wbscr25		Six6
		A530072M11Rik		Siglece
		Mir6390		Loxl1
		Wfdc18		Fut4
		Dmkn		Ncf4
		Dsg1c		Gm4952
		Lmbr1l		Drd4
		Nhlrc4		Slc12a1
		Otop2		F2
		BB031773		Cd80
		Ptgfr		Tcf15
		Gbp2		Tmprss6
		Piezo1		Il1rl1
		Sytl4		Aoah
		Fam216b		Hephl1
		Megf6		E230025N22Rik
		Rom1		Arl11
		Vdr		Rgn
		C1ra		Adtrp
		Jsrp1		Mc3r
		Igsf9		Rd3l
		Ghrl		Scn11a
		Chst9		B3gnt8
		Mir8091		4930473O22Rik
		Retn		Pou4f1
		Ptgr1		Tgm6
		Sp110		Wdr86
		S1pr2		4930546K05Rik
		Flt3l		Fgr
		Gm5086		Gja3
		2310040G24Rik		4933432K03Rik
		2310002D06Rik		Tsks
		Gsdmd		Ccr10
		Gm12295		Aplnr
		Cers3		Tcam1
		Fam180a		Akr1c13
		Mustn1		Mamdc4
		Trim47		5730435O14Rik
		Gm20597		Got1l1
		Pdcd1lg2		Apol7b
		Mx2		Kcnj15
		C1s1		Tigd4
		4931403E22Rik		Gdf7
		Tle6		Lrp2
		Calml4		1700020L24Rik
		Baiap2l2		Vwce
		Krt73		S100g
		4931440P22Rik		Nlrp4g
		Reep4		Prss37
		BC018473		Cyp26a1
		A2m		Tspan2os
		Klk6		Ftcd
		Hspb7		Folr1
		Plekha4		Slco6c1
		Tnfsf13b		BC055402
		Trpm6		
		Dph1		
		Casq2		
		Lpo		
		Olfm4		
		B3gnt7		
		Prss22		
		A630023P12Rik		
		2700046A07Rik		
		Papln		
		Gbp11		
		Myrfl		
		Atp2a1		
		Tdrd9		
		Gucy1b2		
		Gata2		
		Nkx2-2os		
		Nox4		
		Pkp1		
		Prom2		
		Drd3		
		Gpr65		
		Clec1a		
		Cd52		
		Gimap6		
		Atp2c2		
		Gal		
		Cdk15		
		Slc6a3		
		Ptprv		
		Ntf3		
		Cd1d1		
		Slc38a11		
		Dlec1		
		Arl5c		
		Ascl2		
		Pou1f1		
		Hao2		
		Sprr1a		
		BC051226		
		Tekt2		
		Cd7		
		Tnxb		
		Snora34		
		Pkd2l1		
		Ccdc170		
		Armc3		
		4930470P17Rik		
		Ucma		
		Cyyr1		
		Smad6		
		Naa11		
		Mstn		
		Wnt9b		
		Scara5		
		Fndc7		
		Neurog2		
		Draxin		
		Folr2		
		Spata19		
		Inhbe		
		Zc3h12a		
		Kifc5b		
		4930563E18Rik		
		Sdc1		
		Xlr		
		4930558K02Rik		
		Fam124b		
		Cryba2		
		Epcam		
		Itpr3		
		Mboat4		
		Ocm		
		Samd7		
		Mael		
		Bpifb1		
		Gm16294		
		4933429O19Rik		
		Wnt5b		
		Six6		
		Fut4		
		Ncf4		
		Oit3		
		Drd4		
		Slc12a1		
		F2		
		Lmx1a		
		Cd80		
		Tcf15		
		Sln		
		Tmprss6		
		Il1rl1		
		Plet1		
		Tnfrsf25		
		Hephl1		
		Lhfpl1		
		Arl11		
		Rgn		
		Adtrp		
		Abcc2		
		Cndp1		
		Rd3l		
		Scn11a		
		4930473O22Rik		
		Pou4f1		
		Ptprtos		
		Wdr86		
		Fgr		
		Gja3		
