TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Msn	Ssb	Ylpm1	Jmjd4	9930021J03Rik
Serpini1	Dynll1	Crebbp	Ncoa5	Add3
Appl1	Ryr2	Matr3	Sncb	Maged1
Armc1	Fmnl2	Lrrc7	Chd7	Prpf8
Rap2a	Stox2	Herc1	Dgcr2	Jmjd1c
Smarca5	Picalm	Anxa5	Olfm3	Kmt2c
Car13	Gabarapl1	Nf1	Bmp2	Nsd1
Herc2	Chd9	Tulp4	Mpp7	Mgp
Sumo1	Ppm1e	Ep300	Poc1b	Slc6a17
Snx2	Kcnb1	Top2b	Hs3st3a1	Pebp1
Wdr7	Phc3	Lrrc4c	Uprt	Dstn
Tmem106b	Tcea1	Fat3	Nsdhl	Cct6a
Hnrnpab	Anp32e	Gdi2	Paqr7	Cycs
Chp1	Gpatch8	Diras2	Myo9b	Bnip3l
Nptx1	Epm2aip1	Smc1a	Myo1e	Enpp2
Pgbd5	Vim	Ak3	Csrp2	Gabra1
Cyb5b	Hnrnpul2	Gucy1a2	Trim3	Cpeb4
Rapgef2	Prickle2	Hp1bp3	Cwc25	Ncdn
Pink1	Cux1	Fam168a	Gm1976	Pcdh7
Cript	Gng3	Son	Gtpbp10	Dlat
Setd2	Arnt2	Astn1	Hnrnph3	Smc3
Smim14	Zic1	Cnot1	9430021M05Rik	Arhgap21
Prr14l	Fzd3	Tmem65	Fosb	Prkca
Ptk2b	Prnp	Tcf20	Zfp960	Slk
Pde4dip	Fbxl17	Arid1a	Znrf2	Akap6
Ube2l3	Dmd	Ube2k	Klhl18	Pkm
Srsf1	Nipbl	Hpca	Hhip	Ylpm1
Bdp1	Pkia	Ddx17	Lmo2	Zmym2
Ppp1r12a	Ppargc1a	Ssb	Arpc3	Crebbp
Usp25	Msl1	Dynll1	Hlcs	Lrrc7
Strap	Zhx1	Ryr2	Susd4	Herc1
Hcn1	Birc6	Fmnl2	Zfp110	Anxa5
Atp2b4	Dock3	Stox2	Adamts1	Nf1
Dlg4	Golgb1	Picalm	Fn3krp	Tulp4
Hectd1	Arhgdia	Nhsl2	Kdm2b	Ep300
Dmxl1	Gng2	Gabarapl1	Hs3st2	Top2b
Rcan2	Rad23b	Chd9	Rpusd2	Lrrc4c
Eif2s2	Cobl	Ppm1e	Smn1	Fat3
Nav1	Gm17644	Kcnb1	Chga	Nrxn3
Tspyl1	Eif1	Phc3	Ebf1	Gdi2
Phip	Pgk1	Capza2	Hint3	Rpl41
Rev3l	Rnf7	Tcea1	Fadd	Diras2
Sorbs2	Dnajb6	Vdac1	Nr4a3	Smc1a
Rpl18a	Nrep	Gpatch8	Rela	Ak3
Klf6	Xpr1	Vim	Timmdc1	Gucy1a2
Yaf2	Atrn	Rpl10a	Gcnt4	Hp1bp3
Parva	Stx12	Prickle2	Amer2	Osbpl1a
Cox8a	Etl4	Gng3	Nes	Son
Tpm3	Iqsec1	Zic1	Ehbp1l1	Astn1
Tnik	Ndfip1	Fzd3	Nfrkb	Pi4ka
Supt6	Wdfy3	Eid1	Sik1	Oat
Twf1	Zfp488	Prnp	Rab13	Cnot1
Eif4e	Rfx7	Dmd	Pde1c	Tcf20
Usp24	Hnrnpk	Nipbl	Prkag1	Arid1a
Fgf1	Faxc	Pkia	Kcnj16	Ube2k
Habp4	Ctsb	Ctnnd1	Mapkapk5	Hpca
Pcnx	Mga	Zfand5	Adamts3	Ddx17
Vps13a	Ctnna1	Akap5	Ppp1r26	Camk2b
Slc35f1	Serp1	Birc6	Eif1ad	Ssb
Prpf38b	Hnrnpr	Dock3	Slc5a7	Dynll1
Ppp1r7	Marf1	Golgb1	Pdcd11	Ryr2
4933409K07Rik	Ptges3	Arhgdia	Uqcrq	Max
Atp6v1c1	Slc12a5	B230219D22Rik	Prr16	Fmnl2
Lrp1	St8sia3	Chd3	Adamts13	Stox2
Kdm7a	Wipf3	Gng2	Vps11	Picalm
Rpl13	Tubb5	Ssr3	Prpf38a	Nhsl2
Rfx3	Ralgapa1	Gpbp1	Trim62	Gabarapl1
Mmd	Lin7c	Rad23b	Pde8a	Chd9
Mapre3	Ubr5	Cobl	Olig1	Ppm1e
Kcnma1	Slc4a4	Gm17644	Hmgcs2	Kcnb1
Pomp	Lpgat1	Pgk1	Usp49	Phc3
Cggbp1	Necab1	Rnf7	Fbf1	Capza2
Pcdh9	Stmn2	Sod1	Cul9	Tcea1
Cox7b	Twsg1	Dnajb6	Usp3	Anp32e
Gsk3a	Ldha	Nrep	Dapp1	Gpatch8
Polr2a	Mapre1	Stx12	Atg10	Epm2aip1
Ogfod1	Cs	Etl4	Klf2	Vim
Nrn1	Naca	Arih1	Exosc9	Hnrnpul2
Sphkap	Myl6	Iqsec1	Pus10	Rpl10a
Nav2	Trp53inp2	Dnajc5	Numbl	Prickle2
Phyh	Map1lc3b	Ndfip1	Dtl	Cux1
Msl2	Baz1b	Wdfy3	Krt9	Gng3
Rprd2	Smg1	Zfp488	Gpr85	Arnt2
Tmem131	Chst2	Hnrnpk	Efcab2	Zic1
Fut9	Mllt11	Ctsb	Dot1l	Fzd3
Kmt2d	Rpl10	Pip4k2a	4933404O12Rik	Eid1
Vdac2	Ttbk2	Mga	Osbpl5	Prnp
Rpl36al	Dip2b	Ctnna1	Zfp712	Fbxl17
Pcsk2	Dhx9	Serp1	Nphs2	Dmd
Ythdc1	Nfe2l2	Marf1	Bak1	Nipbl
Rpl23a	Rbfox3	Ptges3	Cdh7	Pkia
Acsl3	Myl12b	Tacc1	BC030500	Ctnnd1
Gda	Cep170b	Slc12a5	Txndc11	Akap5
Chd6	Nrcam	Wipf3	Schip1	Ppargc1a
Actr1b	Ppfia2	Tubb5	Cgrrf1	Msl1
Zfp260	Dnaja2	Cadm3	Xab2	Zhx1
Pcdh1	Bag1	Ralgapa1	Ddx41	Birc6
Atp6v0a1	Rsrc2	Cetn3	Ippk	Dock3
