DFTU	DFRC	DFNC	DFRN
GTPBP1	NKX1-2	XLOC_l2_006665	LOC100507575
XLOC_l2_007063	KRTAP13-1	TFPI	LOC100288524
XLOC_013765	LOC647070	XLOC_005421	C6orf26
RBM39	LOC643669	XLOC_008375	DCLRE1A
DEFB108B	XLOC_011728	UBR3	LOC100124692
FNBP4	LOC100289580	CTXN1	UBE2K
MARCH2	XLOC_007653	OXT	VWA3A
NRIP2	SKIL	DPM1	XLOC_004980
PROP1	XLOC_007346	FAM149B1	XLOC_014351
GAMT	XLOC_005778	PIGM	BCL2L14
ZNF395	NRK	CASP10	XLOC_l2_010020
MRPS25	LEPR	SACS	AFM
LRRC61	XLOC_l2_001085	GNA15	XLOC_l2_014077
CARS2	XLOC_008965	LOC158376	LINC00346
XLOC_006820	LRRC37A3	NOM1	MCTS1
SLC2A3	UBE2E1	MRPL19	XLOC_011136
CAPG	MLL	CD58	XLOC_012737
C17orf89	PLAUR	DDX41	MAPK1IP1L
SNORD19	C15orf2	ATP8	XLOC_000350
IL20RB	CST11	SHROOM1	C19orf2
SNORD91B	MICALL2	CCDC6	XLOC_000412
CDK11B	EFHD1	SEPT1	ATRX
TRABD	XLOC_013711	LOC100131910	SIKE1
XLOC_008666	GOLGA3	SMARCB1	XLOC_002504
HOXB7	XLOC_l2_011102	GPS2	XLOC_002406
XLOC_014514	AP1S1	ACTN4	FAM120AOS
JOSD2	XLOC_006312	MYH14	METTL21CP1
XLOC_004457	ERVFRD-2	TAF13	ELMO3
LOC100499466	LOC100507161	EID2B	CARD18
SNORA58	NALCN	AMMECR1L	HNRNPCL1
CCKBR	ID3	DTX3	XLOC_l2_014589
XLOC_002860	LOC283887	NCKIPSD	RPL13AP3
XLOC_008477	XLOC_000293	CFL1	CXorf26
XLOC_007930	XLOC_l2_008151	TLR9	XLOC_007770
CIDEB	XLOC_001994	SLC3A2	PSAPL1
C7orf50	CMTM4	C22orf43	TTC21A
AKAP8	SNAI3	LOC100134391	ABHD11
SLC25A1	SPAG11B	ELL2	COX6C
RNH1	RETNLB	XLOC_012031	SP4
CALHM2	CLEC2A	MINOS1	XLOC_002870
XLOC_007607	XLOC_009326	S100A11	XLOC_l2_015879
ADC	SMARCA2	EMILIN3	SCAF11
SLC3A2	WNT11	PFKFB4	MUT
LOC203274	ZNF429	UBD	ARMCX3
CENPJ	XLOC_011828	XLOC_011708	FLJ43390
EEFSEC	MTMR11	ABCA8	XLOC_003665
RBAK-LOC389458	XLOC_l2_003881	FLJ38109	ZNF668
ITGB1BP2	XLOC_006179	MRPS31	MAFG
AP1M1	KCNIP4-IT1	FCRL2	MED25
EMILIN3	LOC729324	PIP5K1C	RSC1A1
LOC644727	HERC2P2	PFDN4	EFNA1
HLA-DQB2	LOC100506935	LOC100505760	TGM1
LOC100130193	CRIPAK	APOBEC3F	C16orf54
C22orf43	PTGER2	SQLE	IGFBP4
NEAT1	LOC728606	ATP13A1	CCDC66
XLOC_014097	LOC93444	PLD3	RPL37A
IGFBP2	LOC100506437	SLC29A1	TSNAXIP1
C16orf57	ZNF789	GTF3C1	RIBC1
ANKRD36BP2	XLOC_002407	C4orf32	XLOC_011573
KAT6A	LBP	CLEC4M	C5orf30
PPIG	TPH2	JPX	FAM117B
MED16	C8orf44-SGK3	SNORD109B	XLOC_009456
XLOC_002736	XLOC_004394	XLOC_011480	PRSS27
PLEKHF1	CPNE6	LOC100505792	BMX
XLOC_006179	SFXN5	TBL3	CDKN2AIP
ZBTB43	KCNT1	AGRN	XLOC_001259
LOC100509075	LOC728715	LOC100505501	XLOC_004478
XLOC_002122	TMEM179	XLOC_011535	METTL5
DNAH11	SLC35G5	LOC100652751	MAP3K2
ZSWIM7	IL20RB	ZNF213	MINOS1
SPTB	FONG	XLOC_002722	KIRREL2
LOC644714	FERMT1	XLOC_002498	XLOC_l2_003065
LOC100507335	SAP25	CTU1	XLOC_003471
FGFRL1	DDX17	SNRPF	IL20RB
CARD11	GPR98	MLF2	LOC100132287
ZNF812	ONECUT1	XLOC_008244	RFC5
G6PC3	INPP5J	LOC285696	XLOC_001493
XLOC_007460	XLOC_011375	CDC26	CAV2
KCTD19	ADD3	MRPL2	KIF13B
XLOC_010668	LOC642335	XLOC_l2_014645	CDC20B
ASB12	FRMD4A	PANK3	XLOC_004958
ASPHD2	OR1L3	SPOPL	XLOC_004822
LOC100128126	LOC100507153	COX3	XLOC_010210
LOC100505988	ZNF423	ZUFSP	XLOC_001331
LRRC17	PLEKHG2	LOC440944	XLOC_001430
KIAA0226	PLAC2	MIR22HG	PIGK
SLC35G5	XLOC_011296	DDX39B	AMMECR1L
GPR26	LOC100505725	PPP2R4	SHOX2
DUSP3	LOC653075	ZNF91	NDUFB1
CIAO1	BAIAP2L2	FAM208B	SRP54
ACP6	IFIT1B	ZNF350	XLOC_003640
GCNT3	XLOC_001517	C19orf29	XLOC_l2_012238
C17orf110	KIAA1654	GAFA3	XLOC_008737
GMDS	PRO0628	CERCAM	STK36
XLOC_010348	APH1A	GYS1	XLOC_l2_010422
XLOC_l2_001971	XLOC_l2_005759	PRICKLE3	LOC100131910
FAM156A	SMA4	DMWD	SPDYE8P
ADAMTS9-AS2	SFTA2	C16orf86	HMHA1
XLOC_005899	TET2	CST3	UBAP1L
PNISR	SLC6A19	RPS6KA3	ZNF71
MCOLN3	XLOC_l2_005276	TPRKB	LOC100507639
AP1B1P1	LOC100507110	XLOC_010647	XLOC_l2_008009
SELM	LOC643770	FPGT	KBTBD6
BLOC1S1	OR51A2	ITSN2	SLC25A32
FBXL19-AS1	XLOC_007885	EFCAB7	XLOC_013955
LRRC29	LOC100506459	F8A1	MKRN9P
MOV10	XLOC_010198	P2RX3	FLJ12825
AQP7	PCK2	XLOC_l2_006718	ZBTB10
AVPI1	SPTB	ZNF580	PLAGL1
XLOC_003839	XLOC_l2_013737	LOC100653007	CYTB
