SFTU	SFRC	SFNC	SFRN
Slc1a1	Marcks	Ypel5	Rsph9
Crem	Aqp4	Rnf11	Gar1
Trp53i11	Ryr1	Tmsb15a	Dclre1b
Kl	Vipr1	Plgrkt	Bcdin3d
Atp1b3	Mme	Ccdc157	Chrac1
Ache	B3gat1	Pnma2	Pdlim5
Anks1	Ccbe1	Bfsp2	Nfu1
Slc30a10	Hlf	Tbx21	Tctn1
Rgs4	Mkx	Spag5	Cenpp
Pnck	Chn2	Mpv17l2	Neo1
Nim1k	LOC102632463	Card14	Ppp1r35
Fam206a	Uhrf2	Itfg2	Kras
Rassf8	Bcor	Tmem9	Rwdd3
Kif22	Clmn	Pdrg1	Pxk
Pdgfa	Syt17	Uchl1	Mtg2
Fam118a	Zak	Rap2a	Zfp37
Acot6	Sowaha	Acta1	Polr2e
Ankrd50	Rgs2	Phka2	Jade1
Slc2a9	Tubb3	Marcks	Rwdd2b
Rnf11	2810468N07Rik	Serpinf1	Axin1
Rimbp2	Iyd	Ubtd1	Hscb
Lhx9	Clns1a	Thap7	Tmem158
Crym	Lrfn5	Gpx7	Nipsnap1
AI504432	B4galnt1	Chrdl1	Tmsb10
Kcnj10	Cd44	Acvr2a	Car14
2900011O08Rik	Grid1	Scn1b	Erp29
Tnrc6c	Exoc3l4	B3galt5	A930005H10Rik
Panx1	Sfrp4	Tnnc1	Tmem80
Chmp1b	4930579G24Rik	Cbx2	Cacna2d1
Cygb	Slc27a2	Zyx	Trim34a
Ddx26b	Ecm2	Col6a2	Lrrn3
Lrrn3	Rnf169	Itpka	Slc8b1
Amigo1	Tmem109	Sh3bp4	Dnase1
Mme	Chrdl1	Shmt1	Samm50
Man2a1	Ppic	Sox13	Eif4g3
Hpcal1	Kmt2a	Ptplad2	Nudt9
Cyp2e1	Idnk	Lrrc6	Sap30l
Gck	Abcc8	Syngr3	Sez6l
Ryr1	1110008P14Rik	Lifr	Pxdc1
Csf1	Ulk2	Il15ra	Gas8
Ptprn2	Sez6l	St3gal5	Rfc3
Chgb	Ap2m1	Psma5	Ntpcr
Ank	Csgalnact1	Lrfn5	A430033K04Rik
Psma5	Zfp462	Ctss	Tmem178b
Extl2	Sdf4	Ppm1l	Ddx50
Nbeal2	Klhl32	Sox8	Metrn
D430041D05Rik	Syn1	Slc6a11	Ppp2r2b
Slc27a2	Basp1	Ss18	Gstm1
Ung	Ncoa1	Ift22	Trp53i13
Vrk1	Ptgs2	Tanc1	Abtb1
Twf2	Rps19	l7Rn6	Gpcpd1
Tmem123	Tmem123	Zfp598	Sdf2
Sema3a	Grip1	4933427G17Rik	G0s2
Hrsp12	Mfap3l	Chchd5	Dctn3
Mfge8	Cnst	2210016F16Rik	Siglece
Umodl1	Azin1	Zbtb34	Asap2
Pald1	Itpka	Rap1gap2	Ergic3
Mdn1	Cygb	Cks1b	Capn5
Pde7b	Nampt	Capn5	Mib2
Tgfbr3	Trp53i11	Foxk1	Sf3a2
Dpy19l3	Pop5	Gck	Fam160a1
E130119H09Rik	Bnip3	Ppp1r13b	Rnf152
Pcdh8	Zfp37	Slit2	Arhgef26
Flywch2	Abhd2	Phf20l1	Ccdc153
Me2	Ednrb	Lpar4	Ptpdc1
Wdr44	Cxx1c	Fam64a	Klhdc3
Cks1b	Itga4	Pdzrn3	Wdr83
Uhrf2	Atpaf1	Trnp1	Ell
Ccbe1	Itga6	Cd9	Cdh18
Eftud2	Gsta4	Gpr12	1110059E24Rik
Hlf	Tarbp2	Serpinb6e	Exosc5
Adamtsl3	Stk40	Scpep1	Rhov
Csgalnact1	Cds2	Vmn2r29	Tnxb
Asic4	Cgref1	B3gat1	Tspan33
Cdkl1	Paqr6	Fbxl7	Rabggtb
Agpat5	Krt10	Urah	Hs6st2
Mlip	Mgat4a	Myeov2	Ypel3
Sepw1	Nudt16l1	Sox11	Hsd17b10
Rasgrf1	Ank	Syt4	Ubxn10
Foxp2	Cabp7	Pycard	Ciz1
AI846148	Tgfbr3	Pole4	Prrx1
Fads6	Cyth1	Triqk	Tsr3
Spryd4	Tmem151b	Npy	Psmd9
Bhlhe40	Fbxo25	Arl2	Lxn
Vwa3a	Crem	Tgfbr2	Plcg2
Zfp280b	Pole4	Dscam	Itga6
Aldh1l2	Akt3	Far2	Gstm5
Tmem151b	Prkg1	Rtkn	Haus5
St6galnac4	Pgm2l1	Vopp1	Scand1
Plgrkt	Mlip	Setd6	Dennd6b
Bgn	Dact1	Fam171a2	Lbp
Vps13c	Ypel5	Nmur1	Hilpda
Gss	Cd68	B4galt1	Smco4
Zfp934	Ssbp2	Dlc1	Adamts18
Creg1	Gm20754	Cdc42bpa	5730409E04Rik
Hhip	Cacna1g	Hrsp12	Fundc2
Nrep	Ankrd50	Aprt	Snhg8
Lrrc75a	Alms1	Iyd	Bub1b
Mgat4a	Olfm4	Hexb	Tnnt2
Spata2	St6galnac4	Car4	1500009L16Rik
Atpaf1	Nap1l1	Aldh1l2	Nat9
Phlpp2	Col5a2	AW495222	Pclo
Tmem178	Slc14a1	Pkd1	Slc39a5
Nos1	Pla2g2d	Becn1	Man2a1
Adamts1	Ptprn2	Aifm3	Dync1h1
Npy	Pcdhb9	Ggps1	Nxt1
Paqr9	Cpne6	Pgm2l1	Usp20
Pcyt1b	Plekha2	Taf13	Itga7
Zyx	Triqk	Grid1	Prl8a6
Lmna	Fads6	Wsb2	Tnfrsf8
Idh1	Mif	Bdnf	Mum1
1810058I24Rik	Lrrc6	Wnk3	Mrps26
Pdlim4	Ifitm6	Scrn2	Gtf3c5
Fhl2	Cnot10	Akt3	Tpra1
Mdga2	Irak1bp1	Plcg1	Zfp212
Fam129b	D430041D05Rik	Ppp1cc	A330049N07Rik
Scrn2	Fam117a	Agrn	Cltc
Gprc5c	Shisa5	Elfn2	Rps9
Rab40b	Fra10ac1	2900052N01Rik	Mad2l1bp
Pcdhb9	Edc3	Gfpt2	Car6
Basp1	Cdkl1	Gprc5b	Rnf8
Cited4	Foxp2	Actn2	Zkscan3
Mfap3	Mcu	Tekt4	Obox2
Scn1b	Spag5	Slco6b1	Etfb
Tgfb3	Cldn26	Tpt1	Plcg1
Plcxd3	Rnasel	Fbln1	Atp7b
Ifitm6	Pdzrn4	Nppc	Zbtb34
Ppm1l	Atf6b	Paqr9	Emc8
Arpp21	Cpne7	Krtap3-1	Cnnm4
Ak4	Ccpg1	Ostf1	Apitd1
Map3k5	Hexim2	Cyb561d1	AI462493
Zfp931	Tmprss2	Alms1	Car4
Clec16a	Chmp1b	Map1b	C230072F16Rik
Hrk	Idh1	Tgfa	Ankrd13b
Lifr	Sorcs1	St3gal1	Eif3h
Wbp1	Pds5b	Mocos	Gm9899
Efr3a	Pdlim4	Nhsl1	Bdkrb2
Ndc1	Slc41a2	Sardh	Fxyd6
Itgb8	Leprot	Nrtn	Dusp23
Dirc2	Ephb6	Gpr75	Gss
Tmc6	Tgfb3	Nop56	Ccdc186
Ptgfrn	Zfp280b	Crip2	Hmox2
Rdh10	Pald1	Ms4a2	LOC102640338
Ppp1cc	Pkib	Mad2l2	Fars2
Atp6v1a	Lsm4	Rad51ap1	Anapc16
Spats2l	Mpdz	Umodl1	Wee1
Fam53b	Tbc1d8b	Rab24	Baz1a
Rbx1	Phkg1	Gm715	Acot6
Ulk2	Arhgef26	Mir22hg	Lrrc4
Lmo1	Ilf3	Dirc2	Bank1
Sema5b	Ddah2	Hsd17b10	Morn3
Fam45a	Syt10	Med15	Rufy1
Paqr6	Park7	Lce1a1	Gfra4
Sardh	Ccdc12	Pgam2	4933412E12Rik
Nt5dc2	Nos1ap	Zfp931	Gm1976
Mllt6	Cpne9	Fhod3	Tram1l1
Hsbp1	Rap1gap2	Sall3	A530016L24Rik
Snhg8	Atp9a	Htatip2	8430419L09Rik
Pknox2	Mdn1	Tubb3	Cc2d1b
Paip2	Fzd7	Kcnk13	Rpl6
Mthfd1l	Mxd1	Nbeal2	Trim27
Tmed8	Tbk1	Sema5b	Ap2m1
Ccdc157	Hrk	Aff1	Fra10ac1
Il15ra	Rasgrf1	BC030336	D16Ertd472e
Prss53	Ppap2a	Hhip	Fam214a
Cdhr1	Chrd	Chd7	Zdhhc4
Txn1	Ppp2r5c	Kcnd1	Qdpr
Abca4	Cd9	Nlgn3	D830026I12Rik
Gm20754	Mylk3	Comt	Masp2
Adora2b	Nudcd1	Igsf1	Mzt2
Grip1	D2Wsu81e	Ncf2	Timm22
Dcc	Sccpdh	Dpp3	Pds5a
Fastkd5	Map3k4	Arhgef15	Arfrp1
Kcnd1	Itgb8	Ccl5	Lamtor2
Gfpt2	Lrpap1	Phlpp2	Hsdl1
Tnfrsf21	Tiam1	Mertk	Zfp948
Pcdh10	Cd38	Tmem178	Vpreb1
S100b	Hpcal1	Adamts1	Parvb
Plekhh3	Pde4b	Gsta4	Dusp12
Wdr13	Apcdd1	Bhlhe40	Anp32b
Fzd7	Pknox2	Zbtb43	Amdhd2
Sstr2	Wisp1	Dlg5	Speer7-ps1
2610018G03Rik	Abca4	Kif21b	Dus3l
Spon1	Slitrk5	Crem	Gnpat
Lrp1	Paip2	Rbm43	Dctpp1
Itfg2	Aga	Hpcal1	Zfyve27
Scpep1	Mib1	H2-D1	Naa38
Socs2	Gpc1	Syndig1	Dnal1
0610010F05Rik	Kcnab2	Abcc8	Sema6c
Acot5	Cdc42ep4	Spata13	Mdc1
Mib1	Mtss1	Agpat5	Trp53inp2
Gpnmb	Dnm3	Mfge8	Dnajc28
Abhd2	Syt5	Hipk2	Utp6
Myeov2	Mex3b	Cyb5r3	Fam117a
Cd44	Ctnnbl1	Prss53	Fth1
Amer3	Tubb4a	Gabarap	Bfsp2
Nhlrc2	Bgn	Grsf1	Taf6
Ccno	Mrpl23	Defa-rs7	Gramd1a
Gpr75	Rasgrf2	Tug1	Ppap2a
BC030336	Gm10421	Alox8	4930557J02Rik
Syt17	Bhlhe41	4930524C18Rik	Vamp8
Gpam	Trp53i13	Smim12	A730017C20Rik
