XFTU	SFTU	SFRC	SFNC	SFRN
Lrrn3	Ptk2	Serpina3g		Itgax
Etfb	E130309F12Rik	0610007P14Rik	Susd2	Rb1cc1
Il17rd	Apaf1	Il1rapl1	Nrsn1	Gm853
Csrnp1	Uck2	Cpne2	Lmtk2	Gm13271
Adcy2	Slc35f2	Ttl	Crlf1	Cand2
Atp2a2	Lrrn3	Ednra	Acsl5	Spink2
Lpl	Lmtk2	Rb1cc1	Wnt7a	
	Slc39a11	Crlf1	Padi2	Wtip
Ptpn5	Tmem62	Rpl18a	S100a6	Slc6a11
Dctpp1	Acsl5	St8sia5	D10Jhu81e	
Atp13a4	Garnl3	Efhd2	Ppap2b	Htr2c
Rpl35	Hipk3	Arhgef10l	St8sia4	Cerk
Prex1	Atp2a2	Pdk2	Rph3a	Sp110
Phka1	Tm6sf1	Atp2a2	Adrb3	Ufsp1
Ephx4	Adamts14	Tmem232	Tead1	Gm8909
Rnf115	Myo1b	Rtn4r	Slc22a1	2210012G02Rik
Robld3	Tmem198	Gabarap	Thrb	
Arr3	Rgnef	Fut9	Kcnmb4	Fam3c
Cish	Apeh	Cabp1	Mtap6	
Grp	Sema5a	Loxl1	Spag5	Zfp879
	Cry2	Apaf1	Rab27a	
9630041G16Rik	Cckbr	Gcnt2	Lrrn1	Esrrg
Slc20a1	0610007P14Rik	Etfb	Fbxl2	BC061237
Ednra	Fscn1	Maml2	Man1c1	Klhl35
Mapk8	Cd34	Kbtbd11	Cyb5r1	Gm15401
Pkp2	Epha6	Gria3	Rgnef	
Mamdc2	Cinp	Tac2	Gabpb2	
D630045J12Rik	Tmcc2	Mcm4	Fut9	Mst1
Vps8	Maml2		Gria3	Duox1
Brsk2	Prokr2	Tmem196	Ppp2r2c	Sdr16c5
Tyro3	Lpl	Inhba	Nfib	Cxcr3
Trip4	Dtl	Rab6b	Unc5a	Mtrf1
Ctnna2	Adora1	Ap1s2	Kcnk3	Rxfp4
Dlgap3	Fam160a2		Kif3c	Gsta3
Med27	Ccdc22	Nt5c3	Tiam1	Doc2g
Myh1	Plcg2	Tmem62		Foxm1
Gm88			Prkaa1	Ubqln2
Rab6b	Prkaa1	Josd1		Folh1
5033430I15Rik	Ano2	Wnt7a	Accn1	Ahcyl1
Itga8	Jakmip1	Klk8	Rtn4r	Atg5
Grk5	Fam3c	Slc24a3	Gaa	Smok3a
Uba52	Arhgef26	Nhsl1	Gpc4	
Sult4a1	Ngfr	Accn1	Scrn1	Nr2f1
Frem3	Tbc1d9	Adra2c	Satb2	Il7r
Klk8	Trpc3	Gabrd	Frem3	Nags
Gin1	Lrrtm3	Pno1	Tac2	Gtf2h4
Bmpr1a	Pld2	Rgnef	Lactb	Foxs1
Actn4	Gatad1	Pgm2	Cib1	En2
Prdm8	Pygb	Wdfy4	2410006H16Rik	Prss51
Atp11c	Wls	Gm12824	1700019N12Rik	Sirpb1a
Prkaa1	Prkaa2	Htr3a	Adora1	Aup1
Padi2	Myo19	C1ql1	Kcnh1	Angptl4
Ncdn	Rtn4r	3110035E14Rik	Rpl11	Adcyap1
Sema4f	Stx4a	Hebp1	Ankrd40	Mina
Pgm2		Xpa	Bola2	1700014N06Rik
Foxp1	Kcng1	Slc13a5	Coch	Cacng7
Shc3	Ednra	Thap3	Ramp1	Cks1b
Ppl	Rpl10a	Sema3c	Fyn	Fpgs
Efhd2	Olfml2b	Ccbp2	Rnf34	Flt3
1700045I19Rik	Drp2	Myh3	Pak1	Irf8
Adora1	Lats2	Papss2	Prdm8	Rassf3
0610007L01Rik	Fut9	Sema3a	Trhr	Ctsg
Rpl18	Wnt7b	Cdkl1	Lancl2	Stk32c
Pclo	Marcksl1	Tmem14a	Sorcs2	
Lancl2		Spag5	Mtfp1	Ccno
Zdhhc17		Cd6	Ubqln4	Hps1
Tlk1	Pdzd3	Tm6sf1	Rpl35a	Gm4937
Jdp2	Fbxl2	Steap2	Cpne2	Gpr183
Map2k3	Kcnb1	D3Bwg0562e	Phkg1	Abat
Atp8a2	Trhr	Gm4883	Gm6816	4930402F06Rik
Tmem120a	Hrasls	Crhr2	Slc39a6	Mrps24
Polr3d	Nrl		Amot	Hist1h1c
Slc13a5	Top1mt	Ap3b1		Kdm3a
Sema7a	Inhba	Rnf34	Lrrc1	4933409K07Rik
Il17ra	Slc25a29	Cyp11a1	Umodl1	Scn3a
Incenp	Snrpg	Phkg1	Efs	Rfc5
Ormdl1	Tmem120a		Hipk3	Fam96a
Slc39a10	Rhebl1	Clstn1	Dlg1	Ndel1
Egr2	Ttc39b	Thrb	Cckbr	Ptdss1
Adrbk1	Slc4a4	Nrl	Abcd2	Cox6b1
Myo1b	Uap1	Trhr	Klk8	Ap2s1
Wdr74	Tead1	Pld2	Mcmbp	
Rimkla	Susd2	Kcng1	Pno1	Serpina1f
Cacnb3	Cyb561d1	Whsc1	Mcm4	Cox5a
Rnf126	Scube1	Dlg1	Gria4	Hsd3b6
Dbi	Dpp4	Stk39	Whsc1	Ascl2
Lats2	Tmem35	Nrsn1		Cml2
Hbegf	Ap1s2	Racgap1	Scaf11	Mmp8
Slc9a2	Ccnd2	Mybpc3	Fbn2	Cytip
	Snrnp40	Derl1	Kcng1	Hsd17b11
Dysf	Etfb	Cyth4	Wdfy4	Acyp1
Tac2	Cwh43	Cxxc5	Caln1	Ms4a8a
Ccdc113	Llph	Cdc42se2	Rhebl1	
Paqr6	Abcd2	Prokr2	Cd34	
Clps	Aldh1a7	Egr1	Nt5c3	
Il15ra	Tac2	Cyb5r1	Phf14	
Prmt8	Gipc1	Dpy19l1	Paqr6	
Dync1h1	Grp	Jdp2	Eif4ebp1	
Josd1	Stk33	Satb2		
Lck	Hebp1	Dcn	Itpr1	
Rpl19	Gm4883	Prkg1		
Stmn3	Rspo1	2410006H16Rik	Ramp2	
Abca1	Hbegf	Ptp4a1	Gm4838	
Cib1	Ssu72	Bola2	Mras	
Crym	Cdh7	St8sia4	Apaf1	
Slc4a4	Crlf1	Rpl35a	Prokr2	
Ccl17		Slit3	Cyp11a1	
Gfap	Cltb	Pak1	Cd6	
Acaca	Rgs14	Pik3r6	Adra2c	
